criterion,max_depth,n_estimators,oob_score,data,target,cid
entropy,20,50,TRUE,ECFP4,HTR2A,A375
entropy,10,150,TRUE,KPGT,HTR2A,A375
entropy,10,100,TRUE,TranSiGen,HTR2A,A375
gini,10,50,TRUE,CIGER,HTR2A,A375
entropy,20,50,TRUE,DeepCE,HTR2A,A375
entropy,10,50,TRUE,DLEPS,HTR2A,A375
entropy,20,50,TRUE,ECFP4,HTR2A,HA1E
entropy,10,150,TRUE,KPGT,HTR2A,HA1E
entropy,10,300,TRUE,TranSiGen,HTR2A,HA1E
gini,10,250,TRUE,CIGER,HTR2A,HA1E
gini,10,200,TRUE,DeepCE,HTR2A,HA1E
entropy,10,50,TRUE,DLEPS,HTR2A,HA1E
entropy,20,50,TRUE,ECFP4,HTR2A,HELA
entropy,10,150,TRUE,KPGT,HTR2A,HELA
entropy,20,300,TRUE,TranSiGen,HTR2A,HELA
gini,20,50,TRUE,CIGER,HTR2A,HELA
gini,20,300,TRUE,DeepCE,HTR2A,HELA
entropy,10,50,TRUE,DLEPS,HTR2A,HELA
entropy,20,50,TRUE,ECFP4,HTR2A,HT29
entropy,10,150,TRUE,KPGT,HTR2A,HT29
entropy,10,300,TRUE,TranSiGen,HTR2A,HT29
gini,10,100,TRUE,CIGER,HTR2A,HT29
entropy,10,50,TRUE,DeepCE,HTR2A,HT29
entropy,10,50,TRUE,DLEPS,HTR2A,HT29
entropy,20,50,TRUE,ECFP4,HTR2A,MCF7
entropy,10,150,TRUE,KPGT,HTR2A,MCF7
entropy,10,100,TRUE,TranSiGen,HTR2A,MCF7
gini,10,50,TRUE,CIGER,HTR2A,MCF7
gini,20,50,TRUE,DeepCE,HTR2A,MCF7
entropy,10,50,TRUE,DLEPS,HTR2A,MCF7
entropy,20,50,TRUE,ECFP4,HTR2A,PC3
entropy,10,150,TRUE,KPGT,HTR2A,PC3
entropy,10,100,TRUE,TranSiGen,HTR2A,PC3
gini,20,50,TRUE,CIGER,HTR2A,PC3
entropy,20,50,TRUE,DeepCE,HTR2A,PC3
entropy,10,50,TRUE,DLEPS,HTR2A,PC3
entropy,20,50,TRUE,ECFP4,HTR2A,YAPC
entropy,10,150,TRUE,KPGT,HTR2A,YAPC
entropy,10,200,TRUE,TranSiGen,HTR2A,YAPC
gini,20,50,TRUE,CIGER,HTR2A,YAPC
gini,20,250,TRUE,DeepCE,HTR2A,YAPC
entropy,10,50,TRUE,DLEPS,HTR2A,YAPC
entropy,10,300,TRUE,TranSiGen (early fusion),HTR2A,all
entropy,20,50,TRUE,ECFP4,HTR2A,all
entropy,10,150,TRUE,KPGT,HTR2A,all
